ID,Labels
98,PER-8-9 LOC-13 PER-20-21-22
99,LOC-5
100,LOC-1 LOC-3
101,
102,LOC-12
103,LOC-2 LOC-4
104,PER-2-3 LOC-5
105,PER-2-3 LOC-5 PER-7
106,PER-2-3 LOC-5 ORG-7
107,PER-2-3 LOC-5 PER-7
108,PER-2-3 LOC-5 ORG-7
109,PER-2-3 LOC-5 PER-7
110,LOC-5 PER-7
111,PER-2-3 LOC-5 ORG-8
112,PER-2-3 LOC-5
113,PER-2-3 LOC-5
114,
115,PER-2-3 LOC-5 PER-7-8
116,PER-2-3 LOC-5
117,PER-2-3
118,PER-2-3 LOC-5
119,PER-2-3 LOC-5 PER-7
120,PER-2
121,PER-2
122,LOC-2 PER-4 LOC-6 ORG-8
123,PER-2
124,PER-2
125,LOC-5
126,ORG-1
127,LOC-11
128,LOC-1
129,PER-1-2-3-4-5
130,PER-1-2
131,PER-1-2-3 PER-5-6
132,PER-1-2-3
133,PER-1-2
134,PER-1-2
135,PER-1-2
136,PER-1-2
137,PER-1-2 PER-4-5
138,PER-1-2
139,
140,
141,
142,PER-5-6
143,PER-3-4-5 PER-7-8-9
144,PER-8-9
145,PER-3-4-5
146,LOC-1
147,PER-1-2 PER-4 PER-6
148,PER-1-2 PER-4 PER-6
149,PER-1-2-3 PER-5
150,PER-1-2 PER-4
151,PER-1 PER-3 PER-5
152,PER-1-2 PER-4 PER-6
153,PER-1-2 PER-6
154,PER-1-2
155,PER-4
156,PER-1-2-3 PER-5
157,PER-5
158,
159,
160,
161,
162,PER-3-4 PER-6-7 PER-9
163,PER-3-4 PER-6-7 PER-9-10
164,
165,ORG-1
166,
167,
168,
169,
170,PER-2-3 LOC-5
171,PER-2-3 LOC-5
172,PER-2-3 LOC-5
173,PER-2-3 LOC-5
174,PER-2-3 LOC-5
175,PER-2-3 LOC-5
176,PER-2-3 LOC-5
177,LOC-5
178,PER-2-3 LOC-5
179,
180,LOC-1 PER-3-4 PER-9-10 PER-12-13 LOC-21 PER-23-24 PER-26-27 PER-29-30
181,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 LOC-17 PER-19-20 PER-22-23 PER-25-26 PER-28-29
182,LOC-1
183,
184,PER-2-3 LOC-5
185,PER-2-3 LOC-5
186,PER-2-3 LOC-5
187,PER-2-3 LOC-5
188,PER-2-3 LOC-5
189,PER-2-3 LOC-5
190,PER-2-3 LOC-5
191,PER-3 LOC-5
192,PER-2-3 LOC-6
193,PER-2-3 LOC-5
194,PER-2-3 LOC-5
195,PER-2-3 LOC-5
196,PER-2-3 LOC-5
197,
198,LOC-1 PER-3-4 PER-9-10 PER-12-13 LOC-17 PER-19-20 PER-22-23 PER-25-26 PER-28-29
199,
200,
201,PER-1-2 LOC-4 PER-7-8 LOC-10
202,PER-1-2 LOC-4 PER-8 LOC-10
203,PER-1-2 LOC-4 PER-7-8 LOC-10
204,PER-1-2 LOC-4 PER-7-8 LOC-10-11
205,
206,
207,PER-1-2 LOC-4 PER-12
208,PER-1 LOC-3
209,PER-1-2 LOC-4 PER-8-9
210,LOC-2
211,PER-1-2 LOC-4 PER-8
212,LOC-3
213,PER-1-2 LOC-4
214,LOC-3
215,LOC-3
216,ORG-1
217,LOC-1 LOC-17
218,LOC-1 PER-3-4 ORG-12 PER-14-15 PER-18-19-20
219,LOC-1
220,
221,LOC-1 PER-3-4 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24-25 PER-27-28 PER-30-31 PER-33-34 PER-36-37
222,LOC-1 PER-3-4 PER-6-7 PER-12-13 PER-15 PER-17-18 PER-23-24 PER-29-30 PER-32-33
223,
224,ORG-1
225,PER-1-2-3 PER-6-7
226,PER-1 PER-7-8
227,PER-5-6
228,PER-1 PER-14
229,PER-1
230,PER-1 PER-11-12
231,
232,PER-18-19
233,
234,PER-1-2
235,PER-1-2
236,PER-1-2 PER-4-5-6
237,ORG-1
238,ORG-5 LOC-8
239,PER-4-5 PER-14-15 LOC-26
240,LOC-2 PER-14-15 PER-17 PER-20-21
241,PER-1
242,
243,PER-1-2
244,PER-2-3
245,ORG-2 PER-4-5 ORG-21-22 ORG-25-26
246,PER-3
247,ORG-1 PER-3-4 PER-13
248,PER-1-2 PER-8-9 ORG-13
249,
250,ORG-2 PER-4-5 PER-20-21
251,PER-1 PER-3-4 PER-6-7
252,PER-1-2
253,PER-1-2 ORG-11
254,ORG-2 PER-4-5 LOC-29
255,PER-1
256,PER-1-2
257,PER-1-2
258,
259,ORG-2 PER-4-5-6 PER-16-17-18 LOC-28 ORG-30-31-32-33
260,PER-1-2
261,
262,ORG-1-2
263,ORG-2 PER-4-5-6 PER-9 ORG-30
264,ORG-1
265,PER-1-2
266,PER-1-2 PER-9-10 ORG-19
267,ORG-2 PER-14-15
268,LOC-3 PER-5
269,LOC-1
270,LOC-1 PER-3 LOC-21
271,LOC-1 PER-19-20
272,PER-1 ORG-30-31
273,ORG-1 LOC-9 LOC-12 LOC-34
274,ORG-1 PER-3-4 LOC-7 PER-21-22 PER-28-29-30
275,
276,
277,MISC-7-8
278,LOC-1
279,
280,LOC-1 MISC-5-6-7 PER-9-10
281,MISC-3
282,PER-2-3-4
283,PER-2-3-4
284,PER-2-3 LOC-5
285,PER-2-3-4
286,PER-2-3 LOC-5
287,PER-3 LOC-5
288,PER-2-3-4
289,PER-2-3 LOC-5
290,PER-2-3-4
291,PER-2-3-4
292,PER-2-3 LOC-5
293,PER-2-3 LOC-6
294,PER-2-3 LOC-5
295,PER-2-3 LOC-5
296,PER-2-3 LOC-5-6
297,PER-2-3-4 LOC-6
298,PER-2-3-4
299,PER-2-3-4 LOC-6
300,PER-2-3-4
301,PER-2-3-4
302,ORG-1-2 MISC-6
303,LOC-1
304,MISC-5
305,ORG-1-2-3
306,
307,ORG-1 ORG-3
308,LOC-1 ORG-4
309,ORG-1 LOC-3-4
310,ORG-1
311,
312,ORG-1 ORG-3
313,ORG-1-2
314,ORG-1 ORG-3
315,ORG-1 ORG-3-4
316,ORG-1 ORG-3
317,ORG-1 ORG-3
318,ORG-1 ORG-3
319,ORG-1-2-3-4
320,ORG-1 ORG-3
321,PER-1 PER-3
322,ORG-3
323,ORG-1-2-3-4
324,LOC-3 PER-6
325,LOC-1
326,LOC-1 PER-4-5 MISC-15
327,PER-3-4 PER-13 PER-20-21 PER-26-27
328,
329,LOC-3 LOC-5-6
330,LOC-1
331,LOC-1 LOC-3-4 MISC-15
332,PER-3-4
333,
334,ORG-1-2 PER-4 PER-8 ORG-10
335,LOC-1
336,PER-1-2-3-4-5 PER-23-24 ORG-31
337,PER-1 ORG-17-18 PER-27-28-29-30 LOC-40-41
338,MISC-1 PER-3-4 PER-11 PER-24-25
339,MISC-3 PER-13-14 PER-16-17 ORG-29
340,ORG-1-2 PER-5
341,ORG-22-23-24 ORG-38 ORG-41 ORG-48
342,
343,LOC-1
344,ORG-1-2
345,
346,
347,
348,ORG-1-2
349,ORG-1
350,ORG-1-2
351,ORG-1-2
352,ORG-1
353,ORG-1
354,ORG-1
355,ORG-1
356,PER-1
357,LOC-1-2
358,
359,PER-1
360,LOC-3
361,ORG-1
362,ORG-1
363,PER-1
364,LOC-1
365,ORG-1
366,PER-1
367,ORG-1
368,LOC-1
369,
370,ORG-1
371,ORG-1
372,ORG-1
373,ORG-1
374,ORG-1
375,
376,ORG-1
377,ORG-1-2
378,LOC-1
379,PER-1
380,
381,LOC-1
382,
383,
384,
385,
386,ORG-1
387,ORG-1
388,ORG-1
389,ORG-1
390,PER-1
391,LOC-1-2
392,ORG-1
393,ORG-1
394,ORG-1
395,ORG-1
396,ORG-1
397,
398,LOC-1-2
399,ORG-1
400,
401,ORG-1
402,ORG-1
403,ORG-1-2
404,LOC-1-2
405,ORG-1
406,ORG-1-2
407,ORG-1
408,ORG-1
409,PER-1
410,
411,ORG-1
412,ORG-1
413,
414,ORG-1
415,ORG-1
416,ORG-1
417,ORG-1
418,LOC-1
419,ORG-1
420,ORG-1
421,ORG-1
422,ORG-1-2
423,ORG-1
424,PER-1
425,ORG-1
426,ORG-1
427,ORG-1-2
428,ORG-1-2
429,ORG-1
430,ORG-1
431,ORG-1
432,ORG-1
433,ORG-1
434,ORG-1
435,
436,ORG-1
437,ORG-1
438,
439,ORG-1
440,ORG-1
441,ORG-1
442,ORG-1
443,ORG-1
444,ORG-1
445,ORG-1
446,ORG-1
447,ORG-1
448,ORG-1
449,ORG-1-2
450,ORG-1
451,ORG-1
452,ORG-1
453,ORG-1-2
454,LOC-1
455,ORG-1
456,ORG-1
457,ORG-1
458,ORG-1
459,ORG-1
460,
461,LOC-1
462,MISC-3-4
463,
464,
465,ORG-1-2 ORG-4
466,ORG-1 ORG-3-4
467,PER-1 ORG-3
468,LOC-3-4-5-6 ORG-8-9-10
469,ORG-1
470,
471,ORG-1 LOC-3
472,PER-1 LOC-5
473,ORG-1 ORG-3
474,PER-1 PER-3
475,ORG-1 LOC-3
476,
477,ORG-1
478,ORG-1 LOC-3
479,ORG-1-2 ORG-4
480,ORG-1 PER-3
481,ORG-5
482,
483,LOC-1
484,
485,
486,
487,ORG-1
488,ORG-1 ORG-3
489,ORG-1
490,ORG-1 ORG-3
491,ORG-1 ORG-3
492,LOC-1-2
493,
494,ORG-1 ORG-3
495,ORG-3-4-5 ORG-7-8-9-10
496,ORG-4-5-6-7-8
497,
498,ORG-1 ORG-3
499,ORG-1 ORG-3
500,ORG-1-2 ORG-4
501,ORG-3-4
502,ORG-1
503,ORG-1 ORG-3
504,ORG-1 ORG-3
505,ORG-1
506,ORG-1-2 LOC-4
507,ORG-1
508,ORG-3-4-5
509,
510,LOC-1 ORG-3
511,ORG-1-2 ORG-4
512,ORG-1 ORG-3
513,ORG-1 ORG-3
514,ORG-1 ORG-3
515,ORG-3
516,ORG-1-2 ORG-4
517,ORG-1 ORG-3
518,ORG-1 ORG-3
519,ORG-1 ORG-3
520,ORG-1 ORG-3
521,
522,LOC-1
523,
524,ORG-2 LOC-6
525,LOC-1 LOC-6 PER-11-12-13 PER-15-16-17
526,LOC-1 LOC-5
527,ORG-2
528,ORG-1
529,ORG-1 ORG-5
530,ORG-2
531,ORG-1 PER-6-7 PER-12-13 PER-16-17-18
532,ORG-1
533,LOC-5 LOC-8
534,ORG-1 PER-6-7-8 PER-10-11-12 LOC-15 PER-18-19 PER-22-23 PER-26-27 PER-30-31 PER-34-35
535,LOC-1
536,PER-12-13 PER-16-17 PER-20 LOC-25
537,ORG-2 LOC-4 ORG-9
538,ORG-2-3 PER-10-11 PER-17 PER-20-21 PER-24-25-26 PER-28-29-30
539,ORG-2 PER-9-10
540,LOC-7
541,LOC-1
542,
543,LOC-3
544,
545,
546,PER-2-3 LOC-5 PER-8-9
547,
548,PER-2-3 LOC-5 PER-8-9-10
549,PER-2-3 LOC-5 PER-8-9
550,PER-2-3 LOC-5 PER-8-9
551,PER-2-3 LOC-5 PER-8-9
552,PER-2-3 LOC-5 PER-8-9
553,PER-3-4 LOC-6 PER-9-10
554,PER-2-3 LOC-5 PER-8-9
555,PER-2-3 LOC-5 PER-8-9-10
556,PER-2-3-4 LOC-6 PER-9-10
557,LOC-3 LOC-5
558,ORG-1
559,LOC-1 LOC-3
560,
561,LOC-1 PER-3 PER-11-12 LOC-14
562,LOC-1 PER-3-4-5-6
563,
564,ORG-1-2
565,PER-1-2
566,LOC-1
567,LOC-1-2 PER-29
568,LOC-12
569,LOC-14 LOC-27 LOC-34
570,PER-1-2-3-4-5-6 PER-22-23-24
571,PER-1-2-3-4
572,PER-13 PER-17-18
573,PER-12-13
574,PER-3-4 PER-18-19
575,PER-1
576,PER-6 PER-18-19-20 PER-25 MISC-30 PER-32-33 PER-35-36-37
577,PER-1 PER-4 PER-11-12-13-14
578,PER-2
579,PER-5-6-7 PER-21 PER-27
580,
581,PER-2 PER-16-17
582,LOC-1-2 PER-6-7 PER-11-12 PER-16-17 PER-19-20 PER-27-28-29 PER-33-34 PER-38-39 PER-43-44-45-46 PER-50-51 PER-58-59 PER-61-62 PER-69-70 PER-75 PER-77-78-79 PER-86-87 PER-91-92 PER-96-97 PER-101-102 PER-104-105
583,LOC-2 PER-7 PER-9-10 PER-17-18 PER-22 PER-27-28 PER-32-33 PER-37-38 PER-42-43 PER-47-48 PER-52-53 PER-57-58 PER-60-61 PER-68-69 PER-73-74 PER-78-79 PER-83-84 PER-91-92
584,ORG-1-2 LOC-4-5
585,LOC-1
586,LOC-1-2 LOC-5 PER-21
587,
588,LOC-1-2 PER-6-7-8-9 PER-14-15
589,PER-3-4
590,PER-3 PER-8
591,LOC-2 PER-6-7 PER-9 PER-12-13
592,PER-3-4
593,
594,LOC-2
595,LOC-3
596,LOC-1
597,LOC-1 MISC-4 LOC-31
598,LOC-3 MISC-30 PER-32-33-34
599,LOC-2 LOC-11
600,LOC-3 LOC-6 LOC-9
601,LOC-1
602,LOC-1 LOC-5 LOC-9
603,LOC-1
604,
605,LOC-1
606,MISC-3-4
607,
608,
609,ORG-1
610,ORG-1
611,ORG-1 ORG-3
612,
613,ORG-1
614,ORG-1
615,
616,
617,
618,ORG-1
619,ORG-1
620,ORG-1
621,
622,ORG-1
623,
624,ORG-1
625,
626,ORG-1
627,ORG-1
628,ORG-1
629,
630,ORG-1 ORG-3 ORG-5
631,ORG-1 ORG-6-7
632,ORG-3-4
633,ORG-1 PER-3
634,ORG-1
635,ORG-6
636,
637,ORG-1
638,ORG-1-2
639,ORG-1
640,ORG-1
641,ORG-1-2
642,ORG-1
643,ORG-1
644,ORG-1
645,
646,PER-1
647,
648,ORG-1 ORG-3
649,PER-3 PER-6
650,LOC-1 LOC-3
651,LOC-1 PER-3-4-5-6 PER-21-22 LOC-32
652,PER-1 LOC-12 PER-14-15
653,PER-1
654,PER-1
655,LOC-1 LOC-3
656,ORG-4
657,LOC-1
658,
659,LOC-1
660,
661,PER-1 LOC-3 ORG-6 LOC-8
662,
663,PER-1 LOC-3 LOC-9
664,ORG-4
665,LOC-1
666,
667,LOC-1
668,
669,PER-1 LOC-3 ORG-6 LOC-8
670,
671,PER-1 LOC-3 LOC-9
672,LOC-3 LOC-5
673,LOC-1
674,LOC-1 LOC-3 MISC-14
675,
676,LOC-1 PER-10-11 PER-16-17
677,
678,LOC-3 LOC-5
679,LOC-1
680,LOC-1 LOC-3 MISC-11
681,
682,LOC-3 LOC-5
683,LOC-1
684,LOC-1 LOC-3 MISC-14
685,
686,PER-1-2
687,
688,PER-3 ORG-5-6
689,LOC-1
690,PER-1 ORG-5 LOC-7-8 ORG-21-22-23-24
691,LOC-3 LOC-5 MISC-7-8-9
692,LOC-1
693,LOC-1 LOC-3 MISC-11-12-13-14-15
694,PER-3-4-5 PER-8-9
695,
696,LOC-3 LOC-5
697,LOC-1
698,LOC-1 LOC-3 MISC-14
699,PER-3-4
700,
701,LOC-5
702,LOC-1
703,LOC-1 LOC-3 MISC-11-12-13-14
704,PER-3-4 PER-10-11
705,
706,PER-7
707,LOC-1-2
708,PER-3-4 PER-6-7
709,
710,PER-5
711,
712,
713,PER-13
714,PER-5
715,
716,
717,PER-23
718,PER-1
719,
720,
721,
722,
723,PER-1 PER-13 PER-15-16
724,PER-1 PER-11-12-13 LOC-15
725,PER-1 PER-5
726,PER-6 PER-20
727,PER-5
728,
729,
730,LOC-1-2
731,PER-19-20 LOC-22 PER-25-26 LOC-28 PER-36-37 LOC-39 PER-44-45 LOC-47
732,PER-3 ORG-9
733,ORG-1 LOC-3
734,PER-1-2 LOC-4 ORG-27
735,PER-1
736,PER-1 PER-8-9 PER-24-25
737,PER-1-2
738,
739,
740,LOC-15
741,
742,PER-2
743,PER-1
744,PER-15
745,
746,
747,
748,
749,PER-1
750,PER-13
751,PER-1
752,
753,
754,
755,
756,PER-1-2
757,PER-1-2 PER-18-19
758,PER-1-2
759,
760,LOC-3 LOC-5
761,PER-1-2
762,LOC-2
763,LOC-10 LOC-13-14 LOC-26
764,LOC-1 LOC-4 LOC-8 LOC-13
765,LOC-9 LOC-12-13 LOC-15-16 LOC-18
766,
767,LOC-29 LOC-34-35
768,LOC-31 PER-33-34-35
769,
770,LOC-2-3 LOC-5 LOC-7 LOC-18-19-20 LOC-22
771,LOC-4 MISC-17
772,
773,
774,PER-14-15-16
775,PER-1
776,
777,PER-11 PER-15-16-17
778,LOC-18 PER-23-24-25 PER-28
779,
780,
781,LOC-2
782,
783,LOC-12 PER-15-16 LOC-18 PER-24-25 LOC-27 LOC-33 PER-37-38 LOC-40 LOC-43 LOC-46-47
784,PER-9-10 LOC-12 PER-15-16 LOC-18
785,
786,LOC-2
787,
788,
789,LOC-1-2 LOC-4
790,LOC-1-2 LOC-4
791,LOC-1 LOC-3
792,LOC-1 LOC-3
793,
794,
795,LOC-1 LOC-3
796,LOC-1 MISC-3-4
797,LOC-1 LOC-3-4
798,LOC-1 LOC-3-4
799,LOC-3 LOC-6
800,ORG-1-2
801,LOC-2-3 LOC-6 LOC-14
802,
803,LOC-1 PER-4 PER-15-16
804,LOC-2 PER-4-5
805,
806,
807,LOC-2
808,
809,
810,
811,
812,LOC-1
813,
814,LOC-2
815,ORG-1
816,ORG-1
817,ORG-1
818,ORG-1
819,LOC-1
820,ORG-1
821,ORG-1
822,ORG-1
823,ORG-1
824,ORG-1-2
825,LOC-1
826,
827,ORG-1
828,ORG-1
829,LOC-1
830,
831,ORG-1-2 ORG-4
832,ORG-1 ORG-3
833,ORG-1 ORG-3
834,ORG-1 ORG-3
835,ORG-1
836,ORG-1 ORG-3
837,LOC-2
838,ORG-1-2
839,LOC-1
840,
841,LOC-1
842,ORG-1
843,
844,LOC-2
845,ORG-1
846,LOC-1
847,ORG-1
848,ORG-1-2
849,ORG-1
850,ORG-1
851,ORG-1
852,LOC-1
853,ORG-1-2
854,ORG-1-2
855,ORG-1
856,ORG-1-2
857,
858,ORG-1 ORG-3
859,ORG-1 ORG-3
860,ORG-1-2 LOC-5
861,ORG-3
862,ORG-1-2 ORG-4
863,ORG-1-2 ORG-4
864,ORG-1 ORG-3-4
865,
866,LOC-2
867,
868,
869,
870,ORG-1
871,ORG-1 ORG-3
872,ORG-1 ORG-3
873,
874,LOC-2
875,ORG-1
876,ORG-1 ORG-3
877,ORG-1-2
878,ORG-1
879,ORG-1 ORG-3
880,ORG-3
881,ORG-1-2 ORG-4
882,ORG-1-2 ORG-4
883,ORG-1 ORG-3
884,ORG-1-2 LOC-5
885,ORG-1-2
886,PER-3-4
887,ORG-1
888,PER-5 ORG-11 ORG-26-27-28
889,PER-6-7
890,
891,
892,PER-6-7
893,
894,
895,
896,PER-12-13
897,
898,PER-3-4 PER-29 PER-31 PER-34 PER-36
899,ORG-2 PER-4-5 PER-15-16 PER-21-22
900,ORG-1-2
901,PER-1-2
902,PER-1-2
903,
904,PER-1-2-3 ORG-8-9
905,ORG-2
906,PER-6-7 PER-17-18 PER-22-23 PER-25-26
907,
908,PER-8-9-10 PER-22-23
909,PER-2-3-4
910,PER-1-2-3 PER-7
911,ORG-2 PER-4-5 PER-13-14 ORG-25-26-27-28
912,PER-1
913,PER-7-8
914,
915,PER-1-2 ORG-5
916,ORG-1
917,LOC-3 PER-5-6 PER-14-15
918,PER-1 PER-19-20
919,PER-1 PER-9-10
920,PER-1 PER-7-8 PER-21
921,PER-25-26
922,ORG-2-3 PER-5-6 PER-14-15
923,PER-1
924,ORG-1-2-3-4
925,PER-1-2
926,PER-1-2
927,ORG-2 PER-4-5 PER-14 ORG-26-27-28
928,PER-6
929,
930,PER-3-4 ORG-6
931,PER-1-2
932,LOC-2
933,PER-9-10 PER-22-23
934,PER-3 PER-7 PER-19 MISC-22
935,
936,PER-7
937,PER-3 PER-8-9
938,PER-13 PER-18
939,PER-11
940,
941,PER-1 PER-12 PER-22
942,PER-28 PER-36-37
943,
944,
945,PER-1
946,PER-1
947,PER-13
948,
949,PER-1
950,PER-11 PER-25 MISC-27 PER-28-29-30
951,
952,PER-10
953,
954,
955,
956,PER-4-5-6-7
957,LOC-1
958,LOC-1 PER-3-4 LOC-13 PER-15-16
959,LOC-3 LOC-5
960,PER-1-2
961,LOC-1
962,LOC-1 LOC-10
963,LOC-1 LOC-4-5
964,LOC-1 PER-11-12 ORG-14-15 MISC-23
965,PER-19-20
966,PER-3-4 LOC-8 MISC-16 PER-18-19
967,LOC-2 PER-10-11 PER-15-16 PER-18
968,MISC-8 PER-10
969,MISC-18
970,ORG-1 PER-4-5
971,
972,
973,
974,MISC-1 PER-3-4
975,
976,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24-25-26 PER-29-30 PER-32-33 PER-41-42 PER-44-45
977,LOC-1 PER-3-4 PER-6-7 PER-9-10 PER-12-13 PER-15-16 PER-18-19 PER-21-22 PER-24-25 PER-27-28 PER-30-31-32 PER-35-36 PER-38-39
978,
979,LOC-1
980,PER-2-3 PER-7-8 LOC-18 PER-20-21
981,LOC-3
982,LOC-1
983,PER-4-5 PER-7-8-9 LOC-17 LOC-19 LOC-24
984,LOC-7 PER-12-13-14 PER-37-38-39
985,PER-1 PER-17-18 PER-33
986,LOC-10
987,LOC-7 PER-19-20
988,PER-3 LOC-25 MISC-29-30-31 PER-41-42-43-44
989,PER-10 PER-33-34-35
990,PER-1 LOC-8
991,
992,LOC-1 PER-5-6 PER-10-11 PER-15-16-17 PER-22-23 PER-27-28 PER-32-33-34 PER-39-40 PER-49-50 PER-54-55 PER-59-60 PER-64-65-66 PER-71-72 PER-76-77-78 PER-83-84 PER-88-89-90
993,LOC-1 PER-5-6 PER-10-11-12 PER-17-18 PER-22-23 PER-27-28 PER-30-31 MISC-36 PER-41-42 PER-47-48-49 PER-53-54-55 PER-59-60-61 PER-66-67-68 PER-72-73 PER-78-79 PER-84-85 PER-96-97 PER-101-102-103
994,LOC-3 LOC-5
995,LOC-1
996,LOC-1 LOC-3 LOC-13
997,PER-3-4 PER-10-11
998,
999,LOC-3 LOC-6
1000,PER-1-2
1001,LOC-1
1002,LOC-1 LOC-16 MISC-23
1003,MISC-1
1004,
1005,PER-11-12 MISC-15 PER-27-28-29-30
1006,PER-2 PER-39-40
1007,PER-1-2 LOC-8 PER-26-27-28
1008,PER-1-2-3 PER-10-11-12 LOC-29 LOC-42-43 PER-46-47
1009,PER-34
1010,LOC-14 LOC-16
1011,PER-12-13 PER-16-17 PER-20-21
1012,LOC-1 PER-11
1013,
1014,LOC-1 PER-5-6-7 PER-11-12 PER-16-17 PER-21-22 PER-26-27 PER-31-32 PER-36-37-38 PER-45-46 PER-50-51 PER-55-56 PER-63-64 PER-68-69 PER-72-73 PER-77-78-79
1015,LOC-1 PER-5-6 PER-15-16 PER-24 LOC-28-29 PER-33-34 PER-38 PER-43 PER-47-48 PER-52-53 PER-60-61 PER-70-71 PER-74-75
1016,MISC-1 PER-3-4-5 LOC-11
1017,MISC-9
1018,PER-6-7 PER-11-12-13
1019,LOC-3 PER-8-9 LOC-16 LOC-18
1020,
1021,
1022,PER-18 PER-27-28-29
1023,
1024,
1025,
1026,
1027,
1028,
1029,ORG-1-2
1030,LOC-3 LOC-5
1031,LOC-1
1032,LOC-1 LOC-3
1033,
1034,
1035,
1036,LOC-1 PER-3-4 PER-9-10
1037,LOC-1 PER-3-4
1038,
1039,LOC-3 LOC-7
1040,LOC-1
1041,LOC-1 LOC-3 MISC-11
1042,
1043,PER-5-6
1044,LOC-1
1045,PER-13-14 PER-23-24 PER-27-28
1046,PER-1
1047,PER-1 PER-9
1048,PER-1
1049,MISC-3 LOC-7 LOC-10
1050,LOC-1
1051,LOC-2
1052,LOC-1
1053,
1054,LOC-1 PER-3-4-5 PER-11-12
1055,
1056,LOC-1 PER-3 PER-8-9
1057,PER-3-4-5-6
1058,LOC-1
1059,PER-2-3 PER-7-8 PER-14-15-16
1060,ORG-4
1061,LOC-1
1062,ORG-4
1063,
1064,
1065,PER-3 PER-9-10
1066,PER-2-3-4 PER-6-7
1067,PER-2 PER-5-6
1068,
1069,LOC-2 PER-4
1070,LOC-1 PER-3-4
1071,
1072,PER-3
1073,LOC-1
1074,MISC-1-2 PER-4-5 LOC-17
1075,PER-23 ORG-34-35
1076,PER-1 LOC-5 LOC-9 MISC-19-20
1077,
1078,
1079,
1080,PER-1-2-3 LOC-17 LOC-19
1081,MISC-3-4
1082,LOC-1
1083,MISC-3-4
1084,
1085,LOC-1 ORG-3-4
1086,ORG-1-2 ORG-4-5
1087,LOC-1 LOC-3
1088,LOC-3 LOC-5
1089,LOC-1
1090,LOC-1 LOC-8 MISC-11-12-13
1091,
1092,LOC-1 PER-3-4 PER-9-10
1093,LOC-1
1094,
1095,PER-3 PER-7
1096,LOC-1
1097,MISC-2-3 PER-5-6 PER-26
1098,ORG-3-4-5-6 PER-15 PER-18
1099,PER-1 PER-3 PER-7-8
1100,PER-2-3 PER-23
1101,PER-1
1102,
1103,PER-1 PER-25 PER-31
1104,PER-1 LOC-31
1105,PER-1 PER-4-5 PER-9 PER-14 PER-22
